Team,Winrate
frc1677,5.0
frc1684,0.603448275862069
frc1701,0.3617021276595745
frc1711,0.4666666666666667
frc1718,0.5663716814159292
frc1896,5.0
frc1918,0.654320987654321
frc1940,0.425
frc201,0.41818181818181815
frc2048,0.5909090909090909
frc2054,0.7745098039215687
frc2075,0.684931506849315
frc2137,0.5531914893617021
frc2145,0.53125
frc216,0.425
frc217,0.5652173913043478
frc2224,0.44642857142857145
frc2246,0.23076923076923078
frc226,0.5777777777777777
frc2337,0.6319444444444444
frc240,0.5294117647058824
frc2405,0.5094339622641509
frc244,0.4634146341463415
frc245,0.6233766233766234
frc247,0.34210526315789475
frc2474,0.48936170212765956
frc2586,0.4666666666666667
frc2591,0.5357142857142857
frc2604,0.3783783783783784
frc2611,0.5588235294117647
frc2612,0.52
frc2619,0.39473684210526316
frc2620,0.4915254237288136
frc2673,0.47058823529411764
frc2676,0.375
frc27,0.6126126126126126
frc2767,0.7209302325581395
frc2771,0.4942528735632184
frc280,0.3902439024390244
frc2832,0.49019607843137253
frc2834,0.5555555555555556
frc2851,0.65625
frc288,0.44680851063829785
frc2959,0.32075471698113206
frc2960,0.6097560975609756
frc302,0.552
frc308,0.6363636363636364
frc3096,0.2916666666666667
frc3098,0.2692307692307692
frc313,0.5
frc314,0.5512820512820513
frc3175,0.44285714285714284
frc322,0.3125
frc3234,0.3333333333333333
frc33,0.7213114754098361
frc3302,0.5185185185185185
frc3322,0.4473684210526316
frc3357,0.5697674418604651
frc3414,0.48
frc3452,0.6491228070175439
frc3458,0.4461538461538462
frc3534,0.5402298850574713
frc3535,0.5116279069767442
frc3536,0.5591397849462365
frc3537,0.6071428571428571
frc3538,0.7040816326530612
frc3539,0.4032258064516129
frc3542,0.68
frc3546,0.4791666666666667
frc3547,0.5172413793103449
frc3568,0.4230769230769231
frc3570,0.36
frc3572,0.6666666666666666
frc3602,0.4222222222222222
frc3603,0.4
frc3604,0.5739130434782609
frc3617,0.4166666666666667
frc3618,0.43636363636363634
frc3619,0.36
frc3620,0.6417910447761194
frc3632,0.2608695652173913
frc3641,0.6530612244897959
frc3655,0.45901639344262296
frc3656,0.6323529411764706
frc3658,0.5
frc3667,0.6666666666666666
frc3668,0.5
frc3688,0.6166666666666667
frc3707,0.72
frc3767,0.525
frc3770,0.4875
frc3773,0.44
frc3875,0.5238095238095238
frc4003,0.5633802816901409
frc4004,0.5555555555555556
frc4130,0.56
frc4216,0.45454545454545453
frc4237,0.5517241379310345
frc4325,0.6363636363636364
frc4327,0.4634146341463415
frc4337,0.4827586206896552
frc4362,0.6759259259259259
frc4375,0.4
frc4376,0.43333333333333335
frc4377,0.35714285714285715
frc4380,0.48
frc4381,0.5
frc4382,0.21739130434782608
frc4384,0.5833333333333334
frc4390,0.3484848484848485
frc4391,0.6721311475409836
frc4392,0.5106382978723404
frc4395,0.38596491228070173
frc4398,0.17391304347826086
frc4405,0.38461538461538464
frc4408,0.3333333333333333
frc4409,0.5238095238095238
frc4453,0.4074074074074074
frc4482,0.46808510638297873
frc453,0.3235294117647059
frc4568,0.5813953488372093
frc468,0.4166666666666667
frc4680,0.5764705882352941
frc469,0.4807692307692308
frc4715,0.4166666666666667
frc4737,0.5
frc4758,0.25
frc4768,0.4375
frc4776,0.6263736263736264
frc4779,0.42424242424242425
frc4810,0.5263157894736842
frc4811,0.5357142857142857
frc4815,0.2916666666666667
frc4819,0.4358974358974359
frc4827,0.4166666666666667
frc4835,0.3333333333333333
frc4838,0.34615384615384615
frc4840,0.36363636363636365
frc4851,0.4
frc4854,0.5833333333333334
frc4855,0.5362318840579711
frc494,0.647887323943662
frc4956,0.5333333333333333
frc4961,0.6
frc4967,0.5204081632653061
frc4970,0.5094339622641509
frc4983,0.4
frc4988,0.4166666666666667
frc4994,0.37037037037037035
frc4998,0.4
frc503,0.47580645161290325
frc5046,0.5254237288135594
frc5048,0.45454545454545453
frc5050,0.7603305785123967
frc5053,0.5
frc5056,0.5714285714285714
frc5065,0.5217391304347826
frc5066,0.4482758620689655
frc5067,0.5483870967741935
frc5069,0.46808510638297873
frc5072,0.44
frc5084,0.5591397849462365
frc5086,0.38095238095238093
frc5090,0.325
frc51,0.6015625
frc5110,0.5757575757575758
frc5114,0.5
frc5150,0.5652173913043478
frc5152,0.5333333333333333
frc5155,0.4642857142857143
frc5156,0.27586206896551724
frc5161,0.3333333333333333
frc5162,0.14705882352941177
frc5166,0.48717948717948717
frc5167,0.36363636363636365
frc5173,0.5106382978723404
frc5182,0.3333333333333333
frc5183,0.36363636363636365
frc5193,0.6451612903225806
frc5194,0.4074074074074074
